LSOA11CD,AverageTravelDistance,AccessibilityViaPublicTransport,OnlineGroceryAvailability
E01000348,18.852,7.623123658,8
E01000349,19.027,10.33737333,8
E01000350,18.314,4.785595991,8
E01000351,18.687,8.219518185,8
E01000352,18.456,4.192788618,8
E01000353,18.726,4.513565606,8
E01000354,18.458,7.995360032,8
E01000355,18.951,5.657448916,8
E01000356,18.441,4.85828079,8
E01000357,18.277,6.811262729,8
E01000358,18.652,5.26935832,8
E01000359,18.306,4.852042235,8
E01000360,18.766,3.848043782,8
E01000361,18.701,5.002024968,8
E01000362,19.082,5.709815573,8
E01000363,18.869,8.783036704,8
E01000364,19.288,12.13928596,8
E01000365,18.912,6.55731748,8
E01000366,18.617,4.021886786,8
E01000367,19.246,7.06704917,8
E01000368,19.291,7.842066,8
E01000369,19.414,4.975805314,8
E01000370,19.261,4.93917577,8
E01000371,19.572,9.788315927,8
E01000372,19.02,7.599604327,8
E01000373,19.267,10.24003675,8
E01000374,19.974,12.01983282,7
E01000375,20.08,7.205117574,7
E01000376,19.935,7.060146596,7
E01000377,20.108,9.088868649,7
E01000378,20.058,6.32842863,7
E01000379,20.386,6.983367618,7
E01000380,19.683,6.052271632,7
E01000381,19.434,15.05752597,8
E01000382,19.183,4.008898959,8
E01000383,19.937,4.768136658,8
E01000384,19.354,8.53002846,8
E01000385,19.685,5.473593622,8
E01000386,19.435,5.165982937,8
E01000387,19.272,10.09502847,8
E01000388,17.973,5.909740074,8
E01000389,18.508,5.132957718,8
E01000390,18.655,3.874447916,8
E01000391,18.153,7.928666581,8
E01000392,17.722,3.825496345,8
E01000393,18.215,3.098104431,8
E01000394,18.449,4.998113859,8
E01000395,17.366,6.253802417,8
E01000396,17.453,7.262831627,8
E01000398,17.18,9.335644763,8
E01000399,17.489,5.422602176,8
E01000400,17.569,5.179743118,8
E01000401,17.478,3.685529818,8
E01000402,18.888,8.568267222,8
E01000403,19.225,4.846556798,8
E01000404,19.014,5.864848458,8
E01000405,18.832,5.047156102,8
E01000406,18.642,6.135196846,8
E01000407,19.314,8.91619222,8
E01000408,18.622,9.325938628,8
E01000409,17.891,7.700121342,8
E01000410,17.672,4.003255035,8
E01000411,17.881,6.945048545,8
E01000412,17.535,8.62455424,8
E01000413,17.68,7.319667058,8
E01000414,17.767,3.5113756,8
E01000415,17.683,5.265727912,8
E01000416,17.569,4.389449059,8
E01000417,17.722,9.115641662,8
E01000418,17.7,8.34168151,8
E01000419,18.143,9.296036212,8
E01000420,18.431,9.965541893,8
E01000421,18.374,7.268413032,8
E01000422,17.546,7.041916412,8
E01000423,18.14,7.400496058,8
E01000424,18.67,5.292101614,8
E01000425,18.327,7.861535329,8
E01000426,18.468,5.267898311,8
E01000427,18.675,5.203475074,8
E01000428,18.958,5.999118944,8
E01000429,19.47,7.60812346,8
E01000430,19.881,12.02154799,8
E01000431,19.423,7.995573358,8
E01000432,19.707,7.570605561,8
E01000433,19.513,4.598968021,8
E01000434,19.851,6.161073667,8
E01000435,19.524,5.322180312,8
E01000436,18.582,3.8579316,8
E01000437,18.437,9.099606411,8
E01000438,18.681,6.717804862,8
E01000439,18.81,3.699274215,8
E01000440,18.832,8.319601971,8
E01000441,18.654,3.716455749,8
E01000442,18.279,7.79202803,8
E01000443,19.004,6.950993921,8
E01000444,20.212,10.28142513,8
E01000445,19.221,9.533227366,8
E01000446,18.967,9.69084859,8
E01000447,19.596,3.754798683,8
E01000448,19.364,9.226287694,8
E01000449,19.38,7.001087298,8
E01000450,17.639,3.703230492,8
E01000451,17.963,6.948868399,8
E01000452,18.148,4.624400064,8
E01000453,18.084,4.877404246,8
E01000454,17.591,4.759256305,8
E01000455,17.982,5.869280103,8
E01000456,18.156,8.861643064,8
E01000457,18.895,3.29768144,8
E01000458,19.021,9.624160313,8
E01000459,19.104,4.972160697,8
E01000460,18.409,8.337340171,8
E01000461,18.92,9.199424036,8
E01000462,18.647,3.397476156,8
E01000463,18.284,7.423083544,8
E01000464,17.746,7.543916747,8
E01000465,17.889,3.685986235,8
E01000466,17.675,10.37673642,8
E01000467,17.481,4.152268666,8
E01000468,17.639,12.35473366,8
E01000469,17.503,7.457896947,8
E01000470,17.519,9.030716981,8
E01000471,16.418,7.113433219,7
E01000472,16.508,1.742730139,7
E01000473,16.597,10.57618664,7
E01000474,16.582,9.185643251,7
E01000475,16.734,8.880326642,7
E01000476,16.487,6.365154574,7
E01000477,16.382,3.6763931,7
E01000478,16.523,8.484846969,7
E01000479,16.63,8.824442482,8
E01000480,16.801,9.330050581,7
E01000481,16.683,7.505110786,7
E01000482,16.574,6.290168975,7
E01000483,16.457,4.990453529,7
E01000484,17.212,11.35924205,8
E01000485,17.316,9.449024558,8
E01000486,17.059,9.166456336,7
E01000487,17.073,5.733370148,7
E01000488,15.302,5.556803829,7
E01000489,15.214,3.36413445,7
E01000490,14.932,5.014236313,8
E01000491,14.986,9.549102056,8
E01000492,15.122,4.506561009,7
E01000493,15.098,8.425099439,7
E01000494,15.141,6.990065803,7
E01000495,15.008,7.695098195,7
E01000497,15.954,5.682652269,7
E01000498,16.216,11.66909933,7
E01000499,16.121,10.80382317,7
E01000501,16.033,11.43703399,7
E01000502,16.107,12.76728298,7
E01000503,15.913,10.26470876,7
E01000504,15.428,8.615044946,7
E01000505,15.723,8.983072337,7
E01000506,15.939,5.052231176,7
E01000507,15.623,8.916980841,7
E01000508,15.864,6.474628946,7
E01000509,16.21,4.974143527,7
E01000510,16.115,4.23886787,7
E01000511,16.037,6.680012239,7
E01000512,15.717,4.468860307,7
E01000513,16.909,5.698847622,8
E01000514,16.992,8.484785566,8
E01000515,17.082,4.448526518,8
E01000516,17.039,5.318924015,8
E01000517,17.191,7.415119224,8
E01000518,16.928,8.586823438,8
E01000519,16.838,7.626483602,8
E01000520,17.122,3.418422358,8
E01000521,15.835,4.458997577,7
E01000522,15.73,11.0045673,7
E01000523,15.737,6.517102155,7
E01000524,15.728,4.804925701,7
E01000525,15.718,7.112462574,7
E01000526,15.904,7.284330167,7
E01000527,15.812,7.931051814,7
E01000528,15.895,4.377417059,7
E01000530,15.131,8.942292618,7
E01000531,15.331,4.552843945,7
E01000532,14.998,2.760267841,7
E01000533,15.613,6.387193231,7
E01000534,15.247,6.641299441,7
E01000535,15.503,3.730973066,7
E01000536,17.814,5.22388196,8
E01000538,17.56,12.14423701,8
E01000539,17.392,8.546715342,8
E01000540,17.62,10.23804434,8
E01000541,17.815,6.616492038,8
E01000543,17.4,5.107791989,8
E01000544,14.787,7.660775336,8
E01000545,14.815,4.327145237,8
E01000546,14.804,2.603867796,8
E01000547,14.723,3.521795865,8
E01000548,14.636,3.68608803,8
E01000549,14.655,5.38392372,8
E01000550,14.847,5.214191947,8
E01000551,14.888,5.477759814,8
E01000552,14.795,8.587504902,8
E01000553,15.713,4.516654675,7
E01000554,15.582,8.964499337,7
E01000555,15.483,9.767167456,7
E01000556,15.586,4.051218466,7
E01000557,15.392,5.547324553,7
E01000558,15.208,4.210872729,7
E01000559,15.345,5.197738948,7
E01000560,15.223,5.775693927,7
E01000561,15.045,5.65260601,7
E01000562,17.642,7.947291016,7
E01000563,17.52,4.459401907,7
E01000564,17.256,4.904526364,7
E01000565,17.444,3.639875157,7
E01000566,17.352,7.658629406,7
E01000567,17.52,4.903840336,7
E01000568,17.843,6.990256243,8
E01000569,17.491,7.326236466,7
E01000570,17.014,6.470624921,7
E01000571,16.865,7.230773294,7
E01000572,17.518,7.237693969,7
E01000573,17.272,5.637598601,7
E01000574,17.331,4.910466379,7
E01000575,17.082,4.947294412,7
E01000576,16.93,5.514767401,7
E01000577,17.065,3.689579358,7
E01000578,16.789,5.333057508,7
E01000579,14.842,4.655851578,7
E01000580,14.812,3.551336253,8
E01000581,14.955,6.057088485,7
E01000582,14.826,4.478347742,8
E01000583,14.68,3.584806431,8
E01000584,14.995,6.118298216,7
E01000585,14.931,4.375881984,7
E01000586,14.801,2.698641467,7
E01000587,17.467,10.63592961,8
E01000588,17.238,8.160294667,8
E01000589,17.498,9.052419934,8
E01000590,17.339,8.542056115,8
E01000591,17.382,4.724666046,8
E01000592,17.601,5.942059493,8
E01000593,17.654,8.065956491,8
E01000594,17.679,9.625564059,8
E01000595,15.952,7.520325506,7
E01000596,16.069,9.014059813,7
E01000599,15.926,4.545549207,7
E01000600,15.897,8.480165654,7
E01000601,16.016,9.202546749,7
E01000602,16.196,10.96354966,7
E01000603,16.082,10.3445035,7
E01000604,16.186,9.257648072,7
E01000605,16.117,6.377756599,7
E01000606,17.569,5.875351086,7
E01000607,17.144,7.385823187,7
E01000608,17.305,6.54309009,7
E01000609,17.4,8.814096448,7
E01000610,16.992,9.022405826,7
E01000611,17.197,3.962682053,7
E01000612,17.014,6.65234655,7
E01000613,17.112,4.665500212,7
E01000615,16.409,9.446346444,7
E01000616,16.72,6.259554894,7
E01000617,16.488,5.798700971,7
E01000618,16.361,6.609355505,7
E01000619,16.311,8.410244881,7
E01000620,16.449,7.482501605,7
E01000621,16.291,2.600858091,7
E01000622,16.404,5.657070542,7
E01000623,16.696,4.606655326,8
E01000624,16.613,6.95756991,8
E01000625,16.491,7.498708646,8
E01000626,16.363,5.154123777,7
E01000627,16.285,4.70869868,7
E01000628,16.126,6.317797468,7
E01000629,16.718,5.76223484,8
E01000630,16.716,5.43443948,7
E01000631,16.818,11.02241478,7
E01000632,16.701,11.91318215,7
E01000633,16.778,7.617008344,7
E01000634,16.931,7.999358582,7
E01000635,16.787,4.181878808,7
E01000636,16.582,3.717352157,7
E01000637,15.678,6.258559065,7
E01000638,15.782,2.759801641,7
E01000639,15.387,3.327834971,7
E01000640,15.693,2.494949731,7
E01000641,15.775,6.000395584,7
E01000642,15.289,1.682864655,7
E01000643,15.586,7.978713359,7
E01000644,15.61,4.713417818,7
E01000645,18.347,11.74824823,7
E01000646,18.07,5.531884852,7
E01000647,18.274,4.223852216,7
E01000648,18.474,5.066381822,7
E01000649,18.866,12.40230775,7
E01000650,19.034,11.70241926,7
E01000651,18.813,9.876934604,7
E01000652,19.222,6.786936921,7
E01000653,18.044,12.07547463,7
E01000654,20.451,11.71963684,7
E01000655,20.433,14.23036398,7
E01000656,19.772,7.707110856,7
E01000657,20.116,4.383037818,7
E01000658,20.14,6.118100004,7
E01000659,20.135,9.972567291,7
E01000661,19.508,11.90503561,7
E01000662,19.383,6.580163831,7
E01000663,19.804,5.087296524,7
E01000664,19.865,7.285952249,7
E01000665,19.983,5.924466322,7
E01000666,17.118,10.4580196,7
E01000667,20.393,7.173231061,7
E01000668,18.81,3.452772151,7
E01000669,19.021,4.947995204,7
E01000670,18.25,6.418499479,7
E01000671,18.481,5.210757328,7
E01000672,17.122,5.205463074,7
E01000673,17.236,11.26379508,7
E01000674,17.372,3.673181392,7
E01000675,17.922,4.873641945,7
E01000676,17.589,4.676164284,7
E01000677,17.727,8.676615653,7
E01000678,18.209,8.957371846,7
E01000679,18.596,4.258817725,7
E01000680,19.861,9.65011214,7
E01000681,21.419,10.90941719,7
E01000682,21.683,4.440281898,7
E01000683,21.633,6.738917112,7
E01000684,22.106,9.080404829,7
E01000685,22.423,5.992670417,7
E01000686,22.099,6.693813164,7
E01000687,22.451,6.843554818,7
E01000688,22.673,8.051901043,7
E01000689,18.265,12.05953732,7
E01000690,18.282,5.724574577,7
E01000691,18.142,3.445507065,7
E01000692,18.426,3.461009763,7
E01000693,19.027,11.79681669,7
E01000694,18.047,13.68673478,7
E01000695,18.317,8.39354953,7
E01000696,18.843,12.77434205,7
E01000697,18.66,6.469006142,7
E01000698,19.925,14.94571841,7
E01000699,16.319,2.356914737,8
E01000700,16.521,6.37325166,7
E01000701,16.419,3.513028474,7
E01000702,16.396,4.531542189,7
E01000703,16.621,3.721842989,7
E01000704,16.453,5.194602716,8
E01000705,16.348,4.415179691,8
E01000706,16.592,7.94105885,7
E01000707,16.754,4.299579474,7
E01000708,16.829,6.174961195,7
E01000709,16.578,7.377120424,7
E01000710,16.468,8.069291138,7
E01000711,16.45,8.290818399,7
E01000712,16.769,6.462414392,7
E01000713,16.958,10.46688974,7
E01000714,16.767,3.219742871,7
E01000715,17.03,7.233458934,7
E01000716,17.237,6.972752241,7
E01000717,17.432,9.635265,7
E01000718,16.365,11.18848619,7
E01000719,20.534,5.044046036,7
E01000720,20.76,13.83966431,7
E01000721,20.815,5.398070578,7
E01000722,20.624,3.392816786,7
E01000723,21.581,14.95901751,7
E01000724,20.91,7.840403503,7
E01000725,20.965,7.806630804,7
E01000726,21.262,11.17767142,7
E01000727,20.949,5.720485193,7
E01000728,20.432,5.472183125,7
E01000729,19.836,4.828036039,7
E01000730,20.265,5.712908223,7
E01000731,20.101,7.671506447,7
E01000732,20.362,7.212923897,7
E01000733,20.395,4.575643363,7
E01000734,20.596,10.3483624,7
E01000735,19.534,11.47908199,7
E01000736,19.558,9.758429645,7
E01000737,19.715,7.818836493,7
E01000738,20.013,5.828497649,7
E01000739,20.086,7.387135331,7
E01000740,15.824,2.819985874,8
E01000741,15.796,4.300186794,8
E01000742,15.874,6.09517876,8
E01000743,16.302,3.415081385,8
E01000744,16.428,4.448617036,8
E01000745,15.624,8.666173424,8
E01000746,15.68,4.572084817,8
E01000747,18.84,11.12694009,7
E01000748,19.815,13.28908353,7
E01000749,18.003,13.20841841,7
E01000750,21.355,14.07204785,7
E01000751,21.005,7.505178547,7
E01000752,21.512,10.34573177,7
E01000753,20.687,11.64365444,7
E01000754,20.757,6.982702993,7
E01000755,20.688,7.222361885,7
E01000756,20.605,7.589852935,7
E01000757,20.986,13.65708221,7
E01000758,21.198,11.70492852,7
E01000759,19.867,12.75039721,7
E01000760,19.515,6.617864405,7
E01000761,19.713,6.473021579,7
E01000762,18.478,12.32826842,7
E01000763,18.832,9.983632661,7
E01000764,18.665,11.61461217,7
E01000765,19.357,4.277928486,7
E01000766,18.881,7.383312607,7
E01000767,19.082,4.148044655,7
E01000768,19.25,6.836001335,7
E01000769,17.723,5.600026597,7
E01000770,17.044,7.215483469,7
E01000771,16.935,4.685632579,7
E01000772,17.229,10.94897162,7
E01000773,17.17,9.521792556,7
E01000774,17.041,5.533669396,7
E01000775,17.687,9.470766587,7
E01000777,17.41,4.773547926,7
E01000778,17.335,5.61242538,7
E01000779,17.124,5.110162892,8
E01000780,17.374,5.502322229,8
E01000781,17.565,6.974971344,8
E01000782,17.529,4.352069358,8
E01000783,17.711,4.700462859,8
E01000784,17.93,8.696824337,7
E01000785,17.696,5.072376332,8
E01000786,22.148,10.36964345,7
E01000787,21.418,7.501205726,7
E01000788,21.386,5.783021254,7
E01000789,21.749,5.050004959,7
E01000790,21.25,3.960116221,7
E01000791,21.534,10.91318514,7
E01000792,21.853,4.026911059,7
E01000793,21.73,6.822925069,7
E01000794,21.834,6.818537503,7
E01000795,22.251,7.845990117,7
E01000796,16.244,4.34194561,8
E01000797,16.36,5.881747446,7
E01000798,16.316,2.876909529,8
E01000799,16.171,2.516876025,8
E01000800,16.096,4.714308914,8
E01000801,16.28,2.886002479,8
E01000802,15.855,2.833229097,8
E01000803,15.83,4.096519551,8
E01000804,16.051,9.219130479,7
E01000805,16.055,5.194539486,8
E01000806,16.158,2.708521644,8
E01000807,19.848,5.543236507,7
E01000808,20.492,10.04465263,7
E01000809,19.893,7.952749659,7
E01000810,20.187,9.109123622,7
E01000811,20.036,5.960182206,7
E01000812,20.918,8.519591892,7
E01000813,20.333,3.6280133,7
E01000814,20.912,9.327340311,7
E01000815,19.958,8.007125139,7
E01000816,17.064,9.221473625,7
E01000818,17.261,8.898808431,7
E01000819,17.238,3.589135957,7
E01000820,17.515,3.723293173,7
E01000822,17.338,5.083481767,7
E01000823,17.593,5.591601779,7
E01000824,17.474,4.188487947,7
E01000825,17.822,9.133323598,7
E01000826,17.954,9.109876307,7
E01000827,18.149,5.830673943,7
E01000828,17.608,12.11693006,7
E01000829,17.965,8.722989841,7
